0.0127	0.425	31.527
0.0127	0.414	32.092
0.0254	0.479	28.825
0.0381	0.511	27.307
0.0508	0.561	24.809
0.0635	0.587	23.802
0.0762	0.603	23.096
0.0889	0.622	22.284
0.1016	0.649	21.031
0.1143	0.654	20.853
0.127	0.679	20.354
0.1397	0.701	19.764
0.1524	0.686	20.577
0.1778	0.708	19.052
0.2032	0.734	19.124
0.2286	0.754	17.593
0.254	0.749	17.782
0.3048	0.775	16.404
0.3556	0.793	15.852
0.4064	0.808	15.727
0.4572	0.823	14.382
0.508	0.834	15.049
0.5334	0.844	13.733
0.5588	0.851	13.924
0.6096	0.858	14.195
0.7112	0.88	13.065
0.8128	0.896	12.882
0.9271	0.925	11.78
0.9271	0.925	11.499
0.9271	0.877	12.335
0.9398	0.922	12.078
0.9525	0.931	11.574
0.9652	0.925	11.6
0.9779	0.915	12.218
0.9906	0.924	11.486
1.0033	0.931	11.463
1.016	0.927	11.474
1.0287	0.922	11.571
1.0414	0.926	11.552
1.0541	0.941	11.454
1.0668	0.934	10.917
1.0922	0.944	10.762
1.1176	0.939	11.244
1.143	0.955	10.535
1.1684	0.946	10.905
1.2192	0.955	10.662
1.27	0.968	9.972
1.3208	0.971	9.86
1.3716	0.979	9.509
1.4224	0.982	9.344
1.4478	0.98	9.154
1.4732	0.986	8.874
1.524	0.991	8.658
1.6256	0.994	8.544
1.7272	1	8.165
1.8415	0.985	8.6
