0.0127	0.289	48.819
0.0127	0.262	53.158
0.0254	0.31	45.771
0.0381	0.326	44.768
0.0508	0.352	43.54
0.0635	0.382	42.124
0.0762	0.388	41.003
0.0889	0.42	39.429
0.1016	0.416	40.169
0.1143	0.451	38.397
0.127	0.479	36.492
0.1397	0.496	36.496
0.1524	0.515	35.048
0.1778	0.552	32.73
0.2032	0.592	31.33
0.2286	0.604	28.884
0.254	0.601	28.436
0.3048	0.644	26.946
0.3556	0.684	23.582
0.4064	0.699	24.319
0.4572	0.714	23.969
0.508	0.747	20.713
0.5334	0.753	22.075
0.5588	0.759	20.799
0.6096	0.772	20.269
0.7112	0.79	20.001
0.8128	0.842	16.651
0.9271	0.877	15.347
0.9271	0.877	15.752
0.9271	0.836	15.912
0.9398	0.867	16.85
0.9525	0.867	15.744
0.9652	0.873	15.355
0.9779	0.893	14.691
0.9906	0.885	14.499
1.0033	0.883	14.111
1.016	0.879	15.358
1.0287	0.884	15.53
1.0414	0.894	14.234
1.0541	0.894	14.109
1.0668	0.897	13.87
1.0922	0.911	13.248
1.1176	0.917	12.705
1.143	0.916	13.685
1.1684	0.919	13.044
1.2192	0.933	12.425
1.27	0.942	12.335
1.3208	0.962	11.349
1.3716	0.967	10.917
1.4224	0.979	9.739
1.4478	0.978	9.87
1.4732	0.982	9.879
1.524	0.987	9.183
1.6256	0.993	9.042
1.7272	1	7.963
1.8415	0.997	8.3
