0.0127	0.543	19.08
0.0127	0.553	20.448
0.0254	0.601	17.88
0.0381	0.634	16.86
0.0508	0.648	16.482
0.0635	0.67	16.742
0.0762	0.697	15.543
0.0889	0.713	15.096
0.1016	0.736	15.106
0.1143	0.74	14.901
0.127	0.751	14.043
0.1397	0.784	13.437
0.1524	0.792	14.097
0.1778	0.804	13.593
0.2032	0.824	12.622
0.2286	0.851	12.331
0.254	0.863	12.12
0.3048	0.886	11.478
0.3556	0.895	11.51
0.4064	0.905	11.118
0.4572	0.918	10.66
0.508	0.927	10.175
0.5334	0.928	10.089
0.5588	0.94	10.065
0.6096	0.955	9.581
0.7112	0.96	9.965
0.8128	0.98	9.077
0.9271	0.992	8.613
0.9271	0.992	9.111
0.9271	0.931	9.107
0.9398	0.991	9.024
0.9525	0.993	8.71
0.9652	0.984	8.98
0.9779	0.987	8.686
0.9906	0.988	8.877
1.0033	0.988	8.991
1.016	0.989	8.975
1.0287	0.99	8.577
1.0414	0.984	8.413
1.0541	0.986	8.591
1.0668	0.985	8.544
1.0922	0.982	8.494
1.1176	0.987	8.515
1.143	0.986	8.593
1.1684	0.989	7.895
1.2192	0.993	7.57
1.27	0.991	8.097
1.3208	0.997	8.22
1.3716	1	7.82
1.4224	0.996	7.795
1.4478	0.999	7.6
1.4732	0.991	7.893
1.524	0.988	7.988
1.6256	0.995	7.626
1.7272	0.991	7.904
1.8415	0.973	8.533
